fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
2,31,manhattan,uniform,0.8158333333333333,0.68697478991596639,0.30790960451977401,0.96013911182450506,0.42522756827048114,0.63402435817213953,0.75824030494569439,0.51442574353500681,3589,149,735,327
2,1,manhattan,distance,0.73520833333333335,0.40075973409306742,0.39736346516007531,0.83119315141787053,0.39905437352245865,0.6142783082889729,0.6142783082889729,0.292580609969185,3107,631,640,422
2,3,manhattan,distance,0.7739583333333333,0.48606060606060608,0.3775894538606403,0.88657035848047083,0.42501324854266032,0.63207990617055554,0.68519803232238952,0.41024664331910193,3314,424,661,401
2,5,manhattan,distance,0.79000000000000004,0.5379213483146067,0.36064030131826741,0.91198501872659177,0.43179255918827508,0.63631266002242959,0.70840084377981916,0.45475373435809574,3409,329,679,383
2,7,manhattan,distance,0.79895833333333333,0.57473035439137132,0.3512241054613936,0.9261637239165329,0.43600233781414377,0.63869391468896319,0.72245170735934394,0.47270397616812465,3462,276,689,373
2,9,manhattan,distance,0.80729166666666663,0.61102106969205838,0.35499058380414311,0.9357945425361156,0.44907683144729005,0.64539256317012939,0.72869428246975376,0.48185736688454933,3498,240,685,377
2,11,manhattan,distance,0.80833333333333335,0.61833333333333329,0.34934086629001881,0.93873729266987693,0.44645006016847172,0.64403907947994787,0.73479490930928748,0.48899667344273789,3509,229,691,371
2,13,manhattan,distance,0.80791666666666662,0.61986301369863017,0.3408662900188324,0.9406099518459069,0.43985419198055892,0.6407381209323697,0.74234184670292069,0.49652323511390051,3516,222,700,362
2,15,manhattan,distance,0.81125000000000003,0.63879003558718861,0.33804143126177022,0.94569288389513106,0.44211822660098521,0.6418671575784507,0.74483368751127277,0.49835243309048632,3535,203,703,359
2,17,manhattan,distance,0.81291666666666662,0.6518518518518519,0.33145009416195859,0.94970572498662387,0.4394506866416979,0.64057790957429117,0.74755375393349111,0.50143280035304783,3550,188,710,352
2,19,manhattan,distance,0.81312499999999999,0.65595463137996224,0.32674199623352168,0.95131086142322097,0.43620364550597107,0.63902642882837135,0.74996712644303576,0.50461654068882056,3556,182,715,347
2,21,manhattan,distance,0.81291666666666662,0.65648854961832059,0.3239171374764595,0.9518459069020867,0.43379571248423709,0.63788152218927308,0.7513755253471498,0.50717698301979541,3558,180,718,344
2,23,manhattan,distance,0.81270833333333337,0.65523809523809529,0.3239171374764595,0.95157838416265383,0.43352236925015752,0.63774776081955664,0.75089652865314649,0.50653900100012594,3557,181,718,344
2,25,manhattan,distance,0.81520833333333331,0.66794625719769674,0.32768361581920902,0.95371856607811667,0.43967150979153508,0.64070109094866279,0.75150122576803213,0.51001506995552415,3565,173,714,348
2,27,manhattan,distance,0.81479166666666669,0.66994106090373284,0.32109227871939738,0.9550561797752809,0.43411839592616169,0.63807422924733914,0.75240392608512974,0.51072247172928731,3570,168,721,341
2,29,manhattan,distance,0.81541666666666668,0.671875,0.3239171374764595,0.9550561797752809,0.43710292249047011,0.63948665862587017,0.75491503759928824,0.51476676018954981,3570,168,718,344
2,31,manhattan,distance,0.81416666666666671,0.66932270916334657,0.31638418079096048,0.95559122525414664,0.42966751918158569,0.63598770302255359,0.75638653861849436,0.51457891172070713,3572,166,726,336
3,1,euclidean,uniform,0.72229166666666667,0.37670609645131936,0.38983050847457629,0.81674692348849653,0.38315594632114763,0.60328871598153644,0.60328871598153633,0.28185152912509059,3053,685,648,414
3,3,euclidean,uniform,0.77875000000000005,0.5,0.38512241054613938,0.89058319957196364,0.43510638297872339,0.63785280505905151,0.67601673755263536,0.3763827148575698,3329,409,653,409
3,5,euclidean,uniform,0.79437500000000005,0.5539568345323741,0.36252354048964219,0.91706795077581593,0.43824701195219123,0.63979574563272901,0.69930330730654466,0.41738239491254664,3428,310,677,385
3,7,euclidean,uniform,0.79791666666666672,0.5714285714285714,0.34651600753295669,0.9261637239165329,0.43141852286049237,0.63633986572474477,0.71432198855546791,0.43925161792925038,3462,276,694,368
3,9,euclidean,uniform,0.8075,0.61057692307692313,0.35875706214689268,0.934991974317817,0.45195729537366547,0.64687451823235487,0.72434980890513168,0.45998334493714288,3495,243,681,381
3,11,euclidean,uniform,0.81145833333333328,0.63237774030354132,0.35310734463276838,0.94168004280363826,0.45317220543806647,0.64739369371820332,0.73246101271715436,0.47941890459047048,3520,218,687,375
3,13,euclidean,uniform,0.81125000000000003,0.63541666666666663,0.34463276836158191,0.9438202247191011,0.44688644688644691,0.64422649654034148,0.73705348641075163,0.48804810165737805,3528,210,696,366
3,15,euclidean,uniform,0.81229166666666663,0.64098073555166379,0.34463276836158191,0.94515783841626533,0.44825474586650338,0.64489530338892365,0.74089037210347441,0.49275572094501535,3533,205,696,366
3,17,euclidean,uniform,0.81208333333333338,0.64084507042253525,0.34274952919020718,0.9454253611556982,0.44662576687116562,0.64408744517295269,0.74549506317264846,0.49604680153520103,3534,204,698,364
