stage,outer_fold,inner_fold,configuration_id,row_type,validation_rows,average_precision,roc_auc,oof_average_precision,oof_roc_auc,selected_threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,TP,TN,FP,FN,predicted_positive_rate,k,selected
1,3,0,k35__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50488209622604197,0.74624483048510937,0.50445868712687525,0.74609110744629525,0.2906702527792055,0.78442708333333333,0.5127719962157048,0.51047798445961845,0.86223500300942935,0.51162241887905602,0.68635649373452412,2168,12893,2060,2079,0.22020833333333331,35,False
1,3,0,k51__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.50941564776136294,0.74973053544183155,0.50846178723705893,0.74947549728494711,0.27241863469739741,0.78494791666666663,0.51374010246856083,0.519425476807158,0.86036246906975167,0.51656714670413295,0.689893972938455,2206,12865,2088,2041,0.22364583333333321,51,False
1,3,0,k75__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51300927979261601,0.75251532924289355,0.51203326115520342,0.75225260009815542,0.2651215340129402,0.79010416666666672,0.5260379169666427,0.5161290322580645,0.86791948104059391,0.52103636795816477,0.69202425664932921,2192,12978,1975,2055,0.21703125000000001,75,False
1,3,0,k101__money-standard__pay-raw__blocks-none__payw-1,summary,19200,0.51322579800303192,0.75474095718796785,0.51210130797204645,0.75442857284352427,0.26375464146970301,0.79442708333333334,0.53753753753753752,0.50576877796091335,0.87641275998127455,0.52116947713211215,0.69109076897109412,2148,13105,1848,2099,0.208125,101,True
1,4,1,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50256325725795015,0.73592097820369795,,,,,,,,,,,,,,,,
1,4,1,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51393758852668825,0.74356053778872055,,,,,,,,,,,,,,,,
1,4,1,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51867092502884415,0.74725229491434741,,,,,,,,,,,,,,,,
1,4,1,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52375367748770685,0.74974246685438595,,,,,,,,,,,,,,,,
1,4,1,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52436865895318996,0.75027156108587034,,,,,,,,,,,,,,,,
1,4,1,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52587365165097477,0.75261266844864005,,,,,,,,,,,,,,,,
1,4,1,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52439663348981647,0.75413009483454385,,,,,,,,,,,,,,,,
1,4,1,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52342774974756401,0.75704138837500345,,,,,,,,,,,,,,,,
1,4,2,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.4856526415799427,0.73342754724723636,,,,,,,,,,,,,,,,
1,4,2,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.49500772457176151,0.74136530683497925,,,,,,,,,,,,,,,,
1,4,2,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5010372359811448,0.74673021465299105,,,,,,,,,,,,,,,,
1,4,2,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50536082006286143,0.74701105685084923,,,,,,,,,,,,,,,,
1,4,2,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50720516522590575,0.74853925216058625,,,,,,,,,,,,,,,,
1,4,2,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50964690574395211,0.74923101382049673,,,,,,,,,,,,,,,,
1,4,2,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51056111614983457,0.75565340161964623,,,,,,,,,,,,,,,,
1,4,2,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51128567992274654,0.75701127789718026,,,,,,,,,,,,,,,,
1,4,3,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50684642216620102,0.73783803707943596,,,,,,,,,,,,,,,,
1,4,3,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51567960833412596,0.74387891589964217,,,,,,,,,,,,,,,,
1,4,3,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52249134815606757,0.74933578119517574,,,,,,,,,,,,,,,,
1,4,3,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.52246592945252812,0.74890119120612697,,,,,,,,,,,,,,,,
1,4,3,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5226561376249933,0.74873142395384007,,,,,,,,,,,,,,,,
1,4,3,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5243422896556823,0.74931798930359983,,,,,,,,,,,,,,,,
1,4,3,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5219125906960892,0.7531633770569659,,,,,,,,,,,,,,,,
1,4,3,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51908770548059202,0.75295348944359575,,,,,,,,,,,,,,,,
